Tahun,Bulan,Curah_Hujan_mm,Jumlah_Kejadian_Banjir
2017,JANUARI,65.3,0
2017,FEBRUARI,199.3,0
2017,MARET,389.3,1
2017,APRIL,220.2,0
2017,MEI,222.3,0
2017,JUNI,106.4,0
2017,JULI,39.1,0
2017,AGUSTUS,48.4,0
2017,SEPTEMBER,90.8,0
2017,OKTOBER,345.3,0
2017,NOVEMBER,442.2,0
2017,DESEMBER,129.9,0
2018,JANUARI,191.0,0
2018,FEBRUARI,239.3,1
2018,MARET,292.0,1
2018,APRIL,297.6,1
2018,MEI,123.9,1
2018,JUNI,33.4,0
2018,JULI,0.3,0
2018,AGUSTUS,38.9,0
2018,SEPTEMBER,40.8,0
2018,OKTOBER,124.8,0
2018,NOVEMBER,483.2,1
2018,DESEMBER,323.5,1
2019,JANUARI,231.6,0
2019,FEBRUARI,269.1,0
2019,MARET,222.7,0
2019,APRIL,298.9,1
2019,MEI,245.7,0
2019,JUNI,26.5,0
2019,JULI,13.4,0
2019,AGUSTUS,0.2,0
2019,SEPTEMBER,55.0,0
2019,OKTOBER,84.2,0
2019,NOVEMBER,270.7,0
2019,DESEMBER,313.5,0
2020,JANUARI,207.6,2
2020,FEBRUARI,336.6,0
2020,MARET,290.8,1
2020,APRIL,271.4,0
2020,MEI,292.3,0
2020,JUNI,30.3,0
2020,JULI,63.7,0
2020,AGUSTUS,41.6,0
2020,SEPTEMBER,87.7,0
2020,OKTOBER,327.3,0
2020,NOVEMBER,207.3,0
2020,DESEMBER,261.8,1
2021,JANUARI,146.4,0
2021,FEBRUARI,153.9,0
2021,MARET,292.5,0
2021,APRIL,177.3,0
2021,MEI,239.0,0
2021,JUNI,92.4,0
2021,JULI,33.2,0
2021,AGUSTUS,91.8,0
2021,OKTOBER,218.4,0
2021,NOVEMBER,454.3,4
2022,JANUARI,59.5,0
2022,FEBRUARI,117.1,0
2022,MARET,238.9,0
2022,APRIL,336.2,1
2022,MEI,146.9,1
2022,JUNI,150.6,0
2022,JULI,98.5,0
2022,AGUSTUS,29.9,0
2022,SEPTEMBER,182.2,0
2022,OKTOBER,366.7,1
2022,NOVEMBER,307.2,0
2022,DESEMBER,277.7,1
